FBRef,Review
Bernd Leno,1
Willian,3
Pierre-Emerick Aubameyang,4
Cédric Soares,5
Alexandre Lacazette,6
Granit Xhaka,7
Héctor Bellerín,9
Calum Chambers,10
Mohamed Elneny,12
Ainsley Maitland-Niles,13
Rob Holding,14
Thomas Partey,15
Kieran Tierney,16
Nicolas Pépé,17
Lucas Torreira,18
Joe Willock,19
Emile Smith Rowe,21
Bukayo Saka,22
Gabriel dos Santos,23
Mattéo Guendouzi,25
Emiliano Martínez,30
Bertrand Traoré,32
Jack Grealish,33
John McGinn,35
Trézéguet,37
Tyrone Mings,38
Matt Targett,39
Ollie Watkins,40
Marvelous Nakamba,41
Anwar El Ghazi,42
Emi Buendía,43
Matty Cash,44
Ezri Konsa,45
Frederic Guilbert,46
Wesley Moraes,47
Douglas Luiz,50
Jacob Ramsey,51
Ashley Young,52
Adam Lallana,53
Pascal Groß,55
Shane Duffy,56
Davy Pröpper,57
Dan Burn,58
Lewis Dunk,59
Solly March,60
Adam Webster,61
Joël Veltman,62
Neal Maupay,63
Leandro Trossard,64
Mathew Ryan,65
Ben White,67
Bernardo,68
Robert Sánchez,69
Yves Bissouma,70
Tariq Lamptey,71
Jakub Moder,75
Pontus Jansson,76
Christian Nørgaard,77
Ivan Toney,78
Sergi Canós,81
Rico Henry,83
Vitaly Janelt,84
Ethan Pinnock,91
Aron Gunnarsson,94
Bryan Mbeumo,96
James Tarkowski,98
Phil Bardsley,99
Erik Pieters,100
Jack Cork,101
Dale Stephens,102
Jay Rodriguez,104
Ashley Barnes,105
Ben Mee,106
Ashley Westwood,107
Chris Wood,109
Matthew Lowton,110
Matěj Vydra,111
Nick Pope,112
Charlie Taylor,113
Josh Brownhill,115
Dwight McNeil,118
César Azpilicueta,119
Thiago Silva,121
Marcos Alonso,122
Jorginho,123
Ross Barkley,124
Mateo Kovačić,125
Antonio Rüdiger,127
Kurt Zouma,128
Kepa Arrizabalaga,129
N'Golo Kanté,130
Ruben Loftus-Cheek,132
Andreas Christensen,133
Timo Werner,134
Ben Chilwell,135
Tammy Abraham,136
Christian Pulisic,137
Mason Mount,138
Ethan Ampadu,139
Kai Havertz,141
Reece James,142
Edouard Mendy,143
Conor Gallagher,144
Billy Gilmour,145
Vicente Guaita,146
James Tomkins,147
James McArthur,148
Christian Benteke,149
Cheikhou Kouyaté,150
Jordan Ayew,153
Wilfried Zaha,154
Jeffrey Schlupp,155
Jack Butland,156
Jaïro Riedewald,157
Eberechi Eze,160
Tyrick Mitchell,162
Fabian Delph,163
Séamus Coleman,165
James Rodríguez,166
Bernard,167
Lucas Digne,168
Michael Keane,169
Jordan Pickford,170
Allan,171
André Gomes,172
Abdoulaye Doucouré,173
Alex Iwobi,174
Yerry Mina,175
Tom Davies,176
Dominic Calvert-Lewin,177
Mason Holgate,178
Ben Godfrey,179
Richarlison,180
Liam Cooper,184
Luke Ayling,185
Mateusz Klich,186
Rodrigo,187
Stuart Dallas,188
Patrick Bamford,189
Diego Llorente,190
Kalvin Phillips,191
Tyler Roberts,193
Raphael Dias Belloli,196
Pascal Struijk,198
Illan Meslier,199
Kasper Schmeichel,200
Jonny Evans,201
Marc Albrighton,202
Nampalys Mendy,203
Joel Ward,204
Jamie Vardy,205
Ricardo Pereira,207
Daniel Amartey,208
Timothy Castagne,209
Youri Tielemans,210
Ayoze Pérez,211
James Maddison,212
Kelechi Iheanacho,213
Harvey Barnes,215
Wilfred Ndidi,216
Çağlar Söyüncü,217
James Justin,218
Luke Thomas,219
Wesley Fofana,220
James Milner,221
Jordan Henderson,222
Adrián,223
Joël Matip,224
Thiago Alcántara,225
Xherdan Shaqiri,226
Roberto Firmino,228
Virgil van Dijk,229
Sadio Mané,230
Alisson,231
Fabinho,232
Mohamed Salah,233
Andrew Robertson,234
Trent Alexander-Arnold,237
Joe Gomez,238
Diogo Jota,240
Nathaniel Phillips,241
Phil Jones,244
Kostas Tsimikas,245
Kyle Walker,249
İlkay Gündoğan,250
Kevin De Bruyne,251
John Stones,252
Riyad Mahrez,254
Raheem Sterling,255
João Cancelo,256
Ederson,257
Nathan Aké,258
Aymeric Laporte,259
Bernardo Silva,261
Rúben Dias,262
Gabriel Jesus,263
Oleksandr Zinchenko,264
Phil Foden,265
Rodri,266
Jack Harrison,267
Ferrán Torres,268
Edinson Cavani,269
David de Gea,270
Paul Pogba,272
Harry Maguire,273
Fred,274
Luke Shaw,275
Jesse Lingard,276
Bruno Fernandes,277
Anthony Martial,278
Dean Henderson,280
Marcus Rashford,281
Donny van de Beek,282
Axel Tuanzebe,283
Victor Lindelöf,284
Scott McTominay,285
Daniel James,287
Aaron Wan-Bissaka,288
Mason Greenwood,289
Brandon Williams,290
Jonjo Shelvey,291
Matt Ritchie,292
Ciaran Clark,293
Karl Darlow,294
Martin Dúbravka,295
Callum Wilson,296
Jeff Hendrick,297
Ryan Fraser,298
Jamaal Lascelles,299
Dwight Gayle,300
Paul Dummett,301
Javier Manquillo,302
Emil Krafth,303
Jacob Murphy,304
Fabian Schär,305
Isaac Hayden,306
Allan Saint-Maximin,307
Miguel Almirón,308
Sean Longstaff,309
Joelinton,310
Jamal Lewis,311
Tim Krul,314
Teemu Pukki,315
Kenny McLean,318
Grant Hanley,319
Todd Cantwell,325
Max Aarons,326
Theo Walcott,332
Fraser Forster,333
Alex McCarthy,334
Oriol Romeu,335
Nathan Redmond,336
Danny Ings,337
Jack Stephens,338
Stuart Armstrong,339
Jannik Vestergaard,340
James Ward-Prowse,341
Kyle Walker-Peters,342
Jan Bednarek,343
Che Adams,345
Moussa Djenepo,350
Mohammed Salisu,351
Joe Hart,352
Hugo Lloris,353
Moussa Sissoko,354
Toby Alderweireld,355
Harry Kane,357
Serge Aurier,358
Son Heung-min,359
Matt Doherty,360
Eric Dier,361
Lucas Moura,362
Dele Alli,363
Ben Davies,364
Pierre Højbjerg,365
Harry Winks,366
Davinson Sánchez,367
Ryan Sessegnon,368
Steven Bergwijn,369
Sergio Reguilón,370
Japhet Tanganga,371
Oliver Skipp,373
Tanguy Ndombele,375
Ben Foster,376
Danny Rose,377
Dan Gosling,378
Craig Cathcart,379
Troy Deeney,380
Tom Cleverley,381
Kiko Femenía,382
Demarai Gray,383
Christian Kabasele,384
Trevoh Chalobah,385
William Troost-Ekong,387
Adam Masina,390
Ken Sema,391
Darren Fletcher,395
Francisco Sierralta,396
Ismaila Sarr,399
Mark Noble,406
Łukasz Fabiański,408
Angelo Ogbonna,409
Bobby Reid,410
Aaron Cresswell,411
Michail Antonio,413
Craig Dawson,414
Ryan Fredericks,415
Manuel Lanzini,416
Arthur Masuaku,417
Vladimír Coufal,418
Saïd Benrahma,419
Jarrod Bowen,420
Declan Rice,421
Tomáš Souček,422
Pablo Fornals,423
Issa Diop,424
João Moutinho,426
Rui Patrício,427
Willy Boly,428
Conor Coady,429
Raúl Jiménez,430
Romain Saïss,431
Fernando Marçal,432
Jonny Castro,433
Leander Dendoncker,434
Adama Traoré,435
Rúben Neves,436
Nélson Semedo,437
Daniel Podence,438
Max Kilman,439
Pedro Neto,441
Fábio Silva,445
Danny Welbeck,447
Milot Rashica,449
Emmanuel Dennis,450
Fernandinho,453
Ben Gibson,456
Boubakary Soumaré,458
Juan Mata,459
Romain Perraud,460
Francisco Trincão,461
Junior Firpo,463
Federico Fernández,465
Oghenekaro Etebo,467
Joshua King,468
Rayan Aït Nouri,470
Pierre Lees-Melou,471
Ryan Bertrand,473
Marc Guéhi,477
Albert Sambi Lokonga,478
Frank Onyeka,479
Wayne Hennessey,480
Asmir Begović,481
Andros Townsend,482
Kristoffer Ajer,483
Jadon Sancho,485
Joe Bryan,487
Joachim Andersen,488
Alphonse Areola,489
Valentino Livramento,491
Juraj Kucka,495
Tom Heaton,509
Josh Sargent,516
Mohamed Elyounoussi,517
Adam Armstrong,525
Romelu Lukaku,529
Emerson,539
Yan Valery,546
Raphaël Varane,555
Martin Ødegaard,558
Aaron Ramsdale,559
Enda Stevens,569
Aaron Lennon,575
Maxwel Cornet,578
Cristiano Ronaldo,579
Ozan Kabak,580
Mathias Normann,581
Hwang Hee-Chan,583
Marc Cucurella,584
Odsonne Édouard,586
Ademola Lookman,587
Takehiro Tomiyasu,590
Salomón Rondón,591
Felipe Anderson,609
Chris Brunt,646
Jonas Lössl,673
Vitaliy Mykolenko,675
Hassane Kamara,676
Samir Santos,677
Kieran Trippier,678
Philippe Coutinho,681
Kieran Gibbs,683
Luis Diaz,696
Christian Eriksen,699
Wout Weghorst,700
Dejan Kulusevski,701
Jóhann Berg Guðmundsson,108